date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-28 08:15:16,jjbrou1,,0,0,0,"Wondering if a mask would protect you from COVID-19? CDC does not currently recommend the general American public use a facemask to protect against novel coronavirus. Only healthcare professionals caring for COVID-19 patients. http://bit.ly/3ceEJwP",,,,1233304646418075648,https://twitter.com/jjbrou1/status/1233304646418075648
2020-02-28 08:15:15,NwaAdaMazii,,0,0,0,"If the criminal Sars stops you and try to search your phone Panic not. Just 1: sneeze heavily on your phone 2: start coughing uncontrollably 3: Ask them for the nearest corona virus treatment center And then sit back and watch them run away.. Too much sense no go kill me oo",,,,1233304646036414464,https://twitter.com/NwaAdaMazii/status/1233304646036414464
2020-02-28 08:15:15,OlaWayn,,0,0,0,"Corona virus ti wo Lagos otun no Soapy",,,,1233304645751246849,https://twitter.com/OlaWayn/status/1233304645751246849
2020-02-28 08:15:15,toshiro__geeko,toshiro__geeko,0,0,0,"Et jusqu’à preuve du contraire le VIH c’est largement quelque chose de maîtrisé, des traitements de moins en moins lourd, on peut vivre avec sans problème. Tant-dis que le coronavirus aucun traitement efficace voir inexistant.",,,,1233304645277306881,https://twitter.com/toshiro__geeko/status/1233304645277306881
2020-02-28 08:15:15,makoto_au_japon,,0,0,0,"Senate probe how #China Southern flight found its way in #Kenya in the wake of #coronavirus https://youtu.be/XiRLI6mI0u8 #covid19 #pneumonia #KTNNews #KTNPrime via @KTNNewsKE",,@KTNNewsKE,#China #Kenya #coronavirus #covid19 #pneumonia #KTNNews #KTNPrime,1233304644928987136,https://twitter.com/makoto_au_japon/status/1233304644928987136
2020-02-28 08:15:15,BedfordEdenvale,,0,0,0,"Nigeria reported the first new #Coronavirus case in sub-Saharan Africa > https://bedfordviewedenvalenews.co.za/afp/939032/video-virus-detected-in-sub-saharan-africa-global-stocks-tank … #InternationalNews #CoronaVirusUpdatespic.twitter.com/8XJK31Puxj",,,#Coronavirus #InternationalNews #CoronaVirusUpdatespic,1233304644899741697,https://twitter.com/BedfordEdenvale/status/1233304644899741697
2020-02-28 08:15:15,otosia,,0,0,0,"Mobil dengan Fitur Coronavirus Protection Dijual, Harga Rp200 Jutaan https://www.otosia.com/berita/mobil-dengan-fitur-coronavirus-protection-dijual-harga-rp200-jutaan.html …",,,,1233304644857860097,https://twitter.com/otosia/status/1233304644857860097
2020-02-28 08:15:15,taegidaizykook,,0,0,0,"As much as it's a crazy idea but I think bh should put a pause in the whole tour until the world is clear from the Corona virus! No where is safe now! The Boys' safety is no. 1 priority!",,,,1233304644287422465,https://twitter.com/taegidaizykook/status/1233304644287422465
2020-02-28 08:15:15,Hysteric_Bar,,0,0,0,"SARS-CoV-2←ウイルスのお名前。 Severe Acute Repiratory Syndrome CoronaVirus 2さん。 2019-nCoV←ウイルスの別名。 2019 novel CoronaVirusさん。 COVID-19←呼吸器疾患のお名前。 COronaVIrus Disease 2019。",,,,1233304643045740549,https://twitter.com/Hysteric_Bar/status/1233304643045740549
2020-02-28 08:15:15,drewski334,,0,0,0,"Here are the numbers compared to the 2019/20 influenza stats. Worldwide: Coronavirus cases: 80k Influenza cases: 5 million Est. Coronavirus deaths: 2800 Est. Influenza deaths: up to 650k U.S.: Coronavirus cases: 54, no deaths Influenza: 13 million cases, up to 16k deaths",,,,1233304642454458368,https://twitter.com/drewski334/status/1233304642454458368
2020-02-28 08:15:14,Queen_Absterr,,0,0,0,"""Two more coronavirus cases confirmed in the UK"" https://twitter.com/i/events/1232960535831830528 …",,,,1233304640877408256,https://twitter.com/Queen_Absterr/status/1233304640877408256
2020-02-28 08:15:14,Pabloneruda54,,0,0,0,"Après avoir interpellé le chef de l'état, #FrancoisSalachas médecin neurologue à la #PitieSalpetriere se confie ce soir à @brutofficiel #Soignants #hopitalpublic #Medecins #Infirmieres #CoronaVirus https://m.facebook.com/brutofficiel/videos/806151566557846/ …",,@brutofficiel,#FrancoisSalachas #PitieSalpetriere #Soignants #hopitalpublic #Medecins #Infirmieres #CoronaVirus,1233304640680349700,https://twitter.com/Pabloneruda54/status/1233304640680349700
2020-02-28 08:15:14,DrBellyButton,,0,0,0,"Much reporting of #covid19 is using unnecessarily inflammatory language. This issue touches all of us & we all need to work as one. China has shown us the value of that. We can deal with this if we look after ourselves AND each other. #CollectiveAction #coronavirus",,,#covid19 #CollectiveAction #coronavirus,1233304638817959937,https://twitter.com/DrBellyButton/status/1233304638817959937
2020-02-28 08:15:13,Debbie__oz,,0,0,0,"Corona virus to Nigeria: pic.twitter.com/OD2BW7fQpX",,,,1233304637568094208,https://twitter.com/Debbie__oz/status/1233304637568094208
2020-02-28 08:15:13,iqraguriya_,planetzaiinab,0,0,0,"I’m so stressed because of the ban due to coronavirus. I’m supposed to go for Umrah on Monday. But thank u for reminding me “When you come for Umrah it’s because Allah has called you to come specifically. Nothing & no one can stop you from going.” https://twitter.com/planetzaiinab/status/1233129916197220372 …",,,,1233304636959805440,https://twitter.com/iqraguriya_/status/1233304636959805440
2020-02-28 08:15:13,EpochTimesDE,,0,0,0,"#Coronavirus erreicht #Norddeutschland – Hamburger Kinderklinik-Mitarbeiter infizierthttps://www.epochtimes.de/politik/deutschland/coronavirus-erreicht-norddeutschland-hamburger-kinderklinik-mitarbeiter-infiziert-a3169447.html …",,,#Coronavirus #Norddeutschland,1233304636708261888,https://twitter.com/EpochTimesDE/status/1233304636708261888
2020-02-28 08:15:13,alaricalbarda,Alex_Verbeek,0,0,0,"Hi ha qui no viu per por a morir. Ser és aprendre Viure Morir Respirar Etern Estimar Res ha canviat Sense llum a l'horitzó No tem la foscor A la claror de l'alba No tem pas la llibertat #Covid_19 #Covid19 #SARSCoV2 #Coronavirus #HumanBeinghttps://twitter.com/alex_verbeek/status/1233300061154664453 …",,,#Covid_19 #Covid19 #SARSCoV2 #Coronavirus #HumanBeinghttps,1233304636003667969,https://twitter.com/alaricalbarda/status/1233304636003667969
2020-02-28 08:15:13,hirnduebel,,0,0,0,"In #Nürnberg wird die interntionale Waffenmesse wegen des #Corona-Virus verschoben. Erschießen ist demnach keine Option.",,,#Nürnberg #Corona,1233304635525541888,https://twitter.com/hirnduebel/status/1233304635525541888
2020-02-28 08:15:13,Xirocommlimited,,0,0,0,"Coronavirus: What We Know And What We Don’t https://xirocomm.net/coronavirus-what-we-know-and-what-we-dont/ …pic.twitter.com/myEWUAOog8",,,,1233304634913103872,https://twitter.com/Xirocommlimited/status/1233304634913103872
2020-02-28 08:15:13,HHjones55,,0,0,0,"The year Liverpool look set to win the league and the end of the season will be cancelled because we’ll all have corona virus happy days",,,,1233304634640433153,https://twitter.com/HHjones55/status/1233304634640433153
2020-02-28 08:15:13,KEVINLYONS61,,0,0,0,"Ciara -Dennis and now Jorge on the way ,storms galore ,attempting to get a Roof Leak sorted for the past two months . Trees opposite look like they may come down - plus the Coronavirus the biggest storm of the lot , but we can depend on Simon and the HSE ?",,,,1233304634393055234,https://twitter.com/KEVINLYONS61/status/1233304634393055234
2020-02-28 08:15:13,Uditgupta_ug,,0,0,0,"India cancels all flight operations from Iran amid Coronavirus threat | India News https://news.asksmarty.in/?p=31939",,,,1233304633835053056,https://twitter.com/Uditgupta_ug/status/1233304633835053056
2020-02-28 08:15:12,joseph_jans,fort_a_propos,0,0,0,"Elle est surtout porteuse d'un virus bien plus dangereux que celui du coronavirus, celui du haineux ! https://twitter.com/fort_a_propos/status/1232982628246204416 …",,,,1233304633474457600,https://twitter.com/joseph_jans/status/1233304633474457600
2020-02-28 08:15:12,takecharuru,JAL_Official_jp,0,0,0,"corona virusに負けずに行きます！ https://twitter.com/JAL_Official_jp/status/1232591128806985728 …",,,,1233304633390403585,https://twitter.com/takecharuru/status/1233304633390403585
2020-02-28 08:15:12,FxView_,,0,0,0,"#Oil prices fell for a sixth straight session on Friday and hit its 14-month low level of $45.81 per barrel. Read Full Report Here: https://www.facebook.com/fxviewdotcom/photos/a.126892358853139/133328018209573 … #forextrader #CrudeOil #forextrading #charts #coronavirus #forexeducation #currencypic.twitter.com/pQKRqIOhso",,,#Oil #forextrader #CrudeOil #forextrading #charts #coronavirus #forexeducation #currencypic,1233304632937476098,https://twitter.com/FxView_/status/1233304632937476098
2020-02-28 08:15:12,MichaelArthur10,,0,0,0,"New Yorker Slaps Donald Trump With Sarcastic Coronavirus Cover https://www.yahoo.com/huffpost/new-yorker-cover-donald-trump-coronavirus-080349799.html …",,,,1233304630878064642,https://twitter.com/MichaelArthur10/status/1233304630878064642
2020-02-28 08:15:12,RedfireBlueice,,0,0,0,"There are a few people helping the #Pets that were left behind! These pets also needs as much attention as humans because they suffer in silence. #Coronavirus https://www.nbcnews.com/news/amp/ncna1131456?__twitter_impression=true …",,,#Pets #Coronavirus,1233304630743924737,https://twitter.com/RedfireBlueice/status/1233304630743924737
2020-02-28 08:15:12,balmof_gilead,,0,0,0,"Please note that these symptoms can also be experienced if you have fever. That doesn’t mean you have #coronavirus. Just take precautionary measures and stay safe! #coronavirusnigeria #CoronavirusOutbreakpic.twitter.com/USYJyCYjL5",,,#coronavirus #coronavirusnigeria #CoronavirusOutbreakpic,1233304629485744128,https://twitter.com/balmof_gilead/status/1233304629485744128
2020-02-28 08:15:11,micheleperli,,0,0,0,"Basta odio su base etnica: ora la gente ha paura anche del vicino di casa. Nelle psicosi l'umanità dà il meglio di sé. Coronavirus, il papà della bimba di Padova: ""Mia figlia di 8 anni contagiata e messa alla gogna nel… https://www.repubblica.it/cronaca/2020/02/28/news/coronavirus_-249762194/ … di @repubblica",,@repubblica,,1233304628986548226,https://twitter.com/micheleperli/status/1233304628986548226
2020-02-28 08:15:11,paksgt,,0,0,0,"Pernyataan Mbahyai Ma'ruf Amin mengenai Indonesia terhindar dari virus Covid-19 / Corona disebabkan oleh bacaan Doa Qunut menuai banyak reaksi dan nyinyiran. Sungguh saya heran kepada yang nyinyir tersebut, apakah mereka tidak percaya tentang fadhilah dan barokah dari sebuah doa? pic.twitter.com/IBGelg2lIT",,,,1233304626696347648,https://twitter.com/paksgt/status/1233304626696347648
2020-02-28 08:15:11,chineme35,,0,0,0,"Just got to the office. Me to the cleaners: Coronavirus is in Nigeria Cleaners: What’s that? Me: It’s a virus spreading fast around the world and now we need to be careful. Please wash your hands with sanitizers, avoid those with flu and crowded areas.",,,,1233304626096738305,https://twitter.com/chineme35/status/1233304626096738305
2020-02-28 08:15:11,Gordocincuentn,,0,0,0,"Lo malo de los tuiteros es que al relacionarnos poco físicamente con el resto de la humanidad, tenemos muy pocas posibilidades de reproducirnos. Lo bueno es que tenemos menos posibilidades de contraer el Coronavirus.",,,,1233304626092531712,https://twitter.com/Gordocincuentn/status/1233304626092531712
